hsa	Homo sapiens (human)
lbf	Leptospira biflexa serovar Patoc Patoc 1 (Ames)
lst	Leptospira santarosai
tpx	Turneriella parva
bhy	Brachyspira hyodysenteriae
brm	Brachyspira murdochii
bpo	Brachyspira pilosicoli 95/1000
bpj	Brachyspira pilosicoli B2904
bpip	Brachyspira pilosicoli P43/6/78
bpw	Brachyspira pilosicoli WesB
bip	Brachyspira intermedia
aba	Candidatus Koribacter versatilis
aca	Acidobacterium capsulatum
acm	Granulicella tundricola
gma	Granulicella mallensis
tsa	Terriglobus saanensis
trs	Terriglobus roseus
sus	Candidatus Solibacter usitatus
ctm	Chloracidobacterium thermophilum
fsu	Fibrobacter succinogenes
fsc	Fibrobacter succinogenes
emi	Elusimicrobium minutum
epo	Endomicrobium proavitum
rsd	Uncultured Termite group 1 bacterium phylotype Rs-D17
fnu	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
fnc	Fusobacterium nucleatum subsp. vincentii 3_1_36A2
fnt	Fusobacterium nucleatum subsp. vincentii 3_1_27
fus	Fusobacterium nucleatum subsp. animalis 4_8
fne	Fusobacterium nucleatum subsp. animalis 7_1
ipo	Ilyobacter polytropus
lba	Leptotrichia buccalis
leo	Leptotrichia sp. oral taxon 212
str	Sebaldella termitidis
smf	Streptobacillus moniliformis
sns	Sneathia amnii
gau	Gemmatimonas aurantiaca
gba	Gemmatirosa kalamazoonesis
tai	Thermanaerovibrio acidaminovorans
aco	Aminobacterium colombiense
tli	Thermovirga lienii
amo	Anaerobaculum mobile
sbr	Fretibacterium fastidiosum
rba	Rhodopirellula baltica
psl	Pirellula staleyi
plm	Planctopirus limnophila
pbs	Rubinisphaera brasiliensis
ipa	Isosphaera pallida
saci	Singulisphaera acidiphila
phm	Phycisphaera mikurensis
syn	Synechocystis sp. PCC 6803
syz	Synechocystis sp. PCC 6803
syy	Synechocystis sp. PCC 6803 GT-S
syt	Synechocystis sp. PCC 6803 GT-I
sys	Synechocystis sp. PCC 6803 PCC-N
syq	Synechocystis sp. PCC 6803 PCC-P
syj	Synechocystis sp. PCC 6714
syw	Synechococcus sp. WH8102
syc	Synechococcus elongatus PCC6301
syf	Synechococcus elongatus PCC7942
syd	Synechococcus sp. CC9605
sye	Synechococcus sp. CC9902
syg	Synechococcus sp. CC9311
syr	Synechococcus sp. RCC307
syx	Synechococcus sp. WH7803
syp	Synechococcus sp. PCC7002
cya	Synechococcus sp. JA-3-3Ab
cyb	Synechococcus sp. JA-2-3B'a(2-13)
syne	Synechococcus sp. PCC 6312
synp	Synechococcus sp. PCC 7502
synk	Synechococcus sp. KORDI-100
synr	Synechococcus sp. KORDI-49
synd	Synechococcus sp. KORDI-52
syu	Synechococcus sp. UTEX 2973
syh	Synechococcus sp. WH 8109
tel	Thermosynechococcus elongatus
thn	Thermosynechococcus sp. NK55
mar	Microcystis aeruginosa
mpk	Microcystis panniformis
cyt	Cyanothece sp. ATCC 51142
cyp	Cyanothece sp. PCC 8801
cyc	Cyanothece sp. PCC 7424
cyn	Cyanothece sp. PCC 7425
cyh	Cyanothece sp. PCC 8802
cyj	Cyanothece sp. PCC 7822
amr	Acaryochloris marina
cgc	Cyanobium gracile
can	Cyanobacterium aponinum
csn	Cyanobacterium stanieri
dsl	Dactylococcopsis salina
hao	Halothece sp. PCC 7418
glp	Gloeocapsa sp. PCC 7428
cmp	Chamaesiphon minutus
cyu	Cyanobacterium UCYN-A
ter	Trichodesmium erythraeum
lep	Leptolyngbya sp. PCC 7376
gei	Geitlerinema sp. PCC 7407
oac	Oscillatoria acuminata
oni	Oscillatoria nigro-viridis
pseu	Pseudanabaena sp. PCC 7367
cep	Crinalium epipsammum
mic	Microcoleus sp. PCC 7113
arp	Arthrospira platensis
gvi	Gloeobacter violaceus
glj	Gloeobacter kilaueensis
ana	Nostoc sp. PCC 7120
npu	Nostoc punctiforme
nos	Nostoc sp. PCC 7107
nop	Nostoc sp. PCC 7524
ava	Anabaena variabilis
anb	Anabaena sp. 90
acy	Anabaena cylindrica
awa	Anabaena sp. wa102
naz	Anabaena azollae 0708
csg	Cylindrospermum stagnale
calo	Calothrix sp. PCC 7507
calt	Calothrix sp. PCC 6303
calh	Calothrix sp. 336/3
riv	Rivularia sp. PCC 7116
pma	Prochlorococcus marinus SS120
pmm	Prochlorococcus marinus MED4
pmt	Prochlorococcus marinus MIT 9313
pmn	Prochlorococcus marinus NATL2A
pmi	Prochlorococcus marinus MIT9312
pmb	Prochlorococcus marinus AS9601
pmc	Prochlorococcus marinus MIT 9515
pmf	Prochlorococcus marinus MIT 9303
pmg	Prochlorococcus marinus MIT 9301
pmh	Prochlorococcus marinus MIT 9215
pmj	Prochlorococcus marinus MIT 9211
pme	Prochlorococcus marinus NATL1A
prc	Prochlorococcus sp. MIT 0604
prm	Prochlorococcus sp. MIT 0801
cthe	Chroococcidiopsis thermalis
plp	Pleurocapsa sp. PCC 7327
scs	Stanieria cyanosphaera
ceo	Cyanobacterium endosymbiont of Epithemia turgida
bth	Bacteroides thetaiotaomicron
bfr	Bacteroides fragilis YCH46
bfs	Bacteroides fragilis NCTC9343
bfg	Bacteroides fragilis 638R
bfb	Bacteroides fragilis BOB25
bvu	Bacteroides vulgatus
bhl	Bacteroides helcogenes
bsa	Bacteroides salanitronis
bxy	Bacteroides xylanisolvens
bdo	Bacteroides dorei HS1_L_1_B_010
bdh	Bacteroides dorei HS1_L_3_B_079
boa	Bacteroides ovatus
bcel	Bacteroides cellulosilyticus
bacc	Bacteroidales bacterium CF
pgi	Porphyromonas gingivalis W83
pgn	Porphyromonas gingivalis ATCC 33277
pgt	Porphyromonas gingivalis TDC60
pah	Porphyromonas asaccharolytica
pdi	Parabacteroides distasonis
ppn	Paludibacter propionicigenes
osp	Odoribacter splanchnicus
tfo	Tannerella forsythia
bvs	Barnesiella viscericola
pbt	Fermentimonas caenicola
aps	Candidatus Azobacteroides pseudotrichonymphae (Coptotermes formosanus)
pru	Prevotella ruminicola
pmz	Prevotella melaninogenica
pdn	Prevotella denticola
pit	Prevotella intermedia
pdt	Prevotella dentalis
pro	Prevotella sp. oral taxon 299
pfus	Prevotella fusca
afd	Alistipes finegoldii
ash	Alistipes shahii
rbc	Mucinivorans hirudinis
doi	Draconibacterium orientale
sru	Salinibacter ruber DSM 13855
srm	Salinibacter ruber M8
rmr	Rhodothermus marinus DSM 4252
rmg	Rhodothermus marinus SG0.5JP17-172
cpi	Chitinophaga pinensis
nko	Niastella koreensis
nso	Niabella soli
phe	Pedobacter heparinus
psn	Pseudopedobacter saltans
shg	Sphingobacterium sp. 21
sht	Sphingobacterium sp. ML3W
scn	Solitalea canadensis
hhy	Haliscomenobacter hydrossis
sgn	Saprospira grandis
cmr	Cyclobacterium marinum
camu	Cyclobacterium amurskyense
bbd	Belliella baltica
evi	Echinicola vietnamensis
chu	Cytophaga hutchinsonii
dfe	Dyadobacter fermentans
sli	Spirosoma linguale
srd	Spirosoma radiotolerans
lby	Leadbetterella byssophila
rsi	Runella slithyformis
fli	Flexibacter litoralis
eol	Emticicia oligotrophica
fae	Fibrella aestuarina
hsw	Hymenobacter swuensis
hym	Hymenobacter sp. APR13
hyd	Hymenobacter sp. DG25B
hye	Hymenobacter sp. DG25A
pko	Pontibacter korlensis
ruf	Rufibacter sp. DG31D
rti	Rufibacter tibetensis
mtt	Marivirga tractuosa
fbt	Flammeovirgaceae bacterium 311
aas	Candidatus Amoebophilus asiaticus
che	Cardinium endosymbiont cEper1 (Encarsia pergandiella)
gfo	Gramella forsetii
fjo	Flavobacterium johnsoniae
fps	Flavobacterium psychrophilum JIP02/86
fpc	Flavobacterium psychrophilum CSF259-93
fpy	Flavobacterium psychrophilum FPG101
fpo	Flavobacterium psychrophilum FPG3
fpq	Flavobacterium psychrophilum 950106-1/1
fpv	Flavobacterium psychrophilum V3-5
fpw	Flavobacterium psychrophilum V4-24
fpk	Flavobacterium psychrophilum v4-33
fbr	Flavobacterium branchiophilum
fco	Flavobacterium columnare
fin	Flavobacterium indicum
coc	Capnocytophaga ochracea
ccm	Capnocytophaga canimorsus
col	Capnocytophaga sp. oral taxon 323
rbi	Robiginitalea biformata
zpr	Zunongwangia profunda
cat	Croceibacter atlanticus
ran	Riemerella anatipestifer ATCC 11845 = DSM 15868
rai	Riemerella anatipestifer ATCC 11845 = DSM 15868
rar	Riemerella anatipestifer RA-GD
rag	Riemerella anatipestifer RA-CH-1
rae	Riemerella anatipestifer RA-CH-2
rat	Riemerella anatipestifer CH3
fbc	Maribacter sp. HTCC2170
cao	Cellulophaga algicola
cly	Cellulophaga lytica DSM 7489
clh	Cellulophaga lytica HI1
cbal	Cellulophaga baltica NN016038
cbat	Cellulophaga baltica 18
wvi	Weeksella virosa
kdi	Dokdonia sp. 4H-3-7-5
dok	Dokdonia sp. MED134
lan	Lacinutrix sp. 5H-3-7-4
zga	Zobellia galactanivorans
mrs	Muricauda ruestringensis
mlt	Muricauda lutaonensis
asl	Aequorivita sublithincola
orh	Ornithobacterium rhinotracheale DSM 15997
ori	Ornithobacterium rhinotracheale ORT-UMN 88
ptq	Psychroflexus torquis
ndo	Nonlabens dokdonensis
pom	Polaribacter sp. MED152
eao	Elizabethkingia anophelis
elb	Elizabethkingia sp. BM10
emn	Elizabethkingia meningoseptica
myr	Myroides sp. A21
mpw	Myroides profundi
chz	Chryseobacterium sp. StRB126
cgn	Chryseobacterium gallinarum
win	Winogradskyella sp. PG-2
sze	Siansivirga zeaxanthinifaciens
ahz	Algibacter sp. HZ22
fba	Flavobacteriaceae bacterium
smg	Candidatus Sulcia muelleri GWSS
sms	Candidatus Sulcia muelleri SMDSEM
smh	Candidatus Sulcia muelleri DMIN
sum	Candidatus Sulcia muelleri CARI
smv	Candidatus Sulcia muelleri Sulcia-ALF
smub	Candidatus Sulcia muelleri BGSS
smum	Candidatus Sulcia muelleri ML
smue	Candidatus Sulcia muelleri TETUND
smup	Candidatus Sulcia muelleri PSPU
bbl	Blattabacterium Bge (Blattella germanica)
bpi	Blattabacterium BPLAN (Periplaneta americana)
bmm	Blattabacterium sp. (Mastotermes darwiniensis)
bcp	Blattabacterium Cpu (Cryptocercus punctulatus)
bbg	Blattabacterium sp. (Blaberus giganteus)
bbq	Blattabacterium sp. (Blatta orientalis)
blp	Blattabacterium sp. (Panesthia angustipennis spadica)
blu	Blattabacterium sp. (Nauphoeta cinerea)
fte	Fluviicola taffensis
oho	Owenweeksia hongkongensis
udi	Candidatus Uzinura diaspidicola
elv	Endosymbiont of Llaveia axin axin
cte	Chlorobium tepidum
cpc	Chlorobaculum parvum
cch	Chlorobium chlorochromatii
cph	Chlorobium phaeobacteroides DSM 266
cpb	Chlorobium phaeobacteroides BS1
cli	Chlorobium limicola
pvi	Chlorobium phaeovibrioides
plt	Chlorobium luteolum
pph	Pelodictyon phaeoclathratiforme
paa	Prosthecochloris aestuarii
cts	Chloroherpeton thalassium
ial	Ignavibacterium album
mro	Melioribacter roseus
det	Dehalococcoides mccartyi 195
deh	Dehalococcoides mccartyi CBDB1
deb	Dehalococcoides mccartyi BAV1
dev	Dehalococcoides mccartyi VS
deg	Dehalococcoides mccartyi GT
dmc	Dehalococcoides mccartyi BTF08
dmd	Dehalococcoides mccartyi DCMB5
dmg	Dehalococcoides mccartyi GY50
dmx	Dehalococcoides mccartyi CG1
dmy	Dehalococcoides mccartyi CG4
dmz	Dehalococcoides mccartyi CG5
duc	Dehalococcoides sp. UCH007
dly	Dehalogenimonas lykanthroporepellens
dew	Dehalogenimonas sp. WBC-2
rrs	Roseiflexus sp. RS-1
rca	Roseiflexus castenholzii
cau	Chloroflexus aurantiacus
cag	Chloroflexus aggregans
chl	Chloroflexus sp. Y-400-fl
hau	Herpetosiphon aurantiacus
tro	Thermomicrobium roseum
sti	Sphaerobacter thermophilus
atm	Anaerolinea thermophila
cap	Caldilinea aerophila
dra	Deinococcus radiodurans
dge	Deinococcus geothermalis
ddr	Deinococcus deserti
dmr	Deinococcus maricopensis
dpt	Deinococcus proteolyticus
dgo	Deinococcus gobiensis
dpd	Deinococcus peraridilitoris
dsw	Deinococcus swuensis
tra	Truepera radiovictrix
tth	Thermus thermophilus HB27
ttj	Thermus thermophilus HB8
tts	Thermus thermophilus SG0.5JP17-16
ttl	Thermus thermophilus JL-18
tsc	Thermus scotoductus
thc	Thermus sp. CCB_US3_UF1
tos	Thermus oshimai
taq	Thermus aquaticus
mrb	Meiothermus ruber DSM 1279
mre	Meiothermus ruber DSM 1279
msv	Meiothermus silvanus
opr	Oceanithermus profundus
mhd	Marinithermus hydrothermalis
aae	Aquifex aeolicus
hya	Hydrogenobaculum sp. Y04AAS1
hho	Hydrogenobaculum sp. HO
hys	Hydrogenobaculum sp. SN
hth	Hydrogenobacter thermophilus
hte	Hydrogenobacter thermophilus
tal	Thermocrinis albus
trd	Thermocrinis ruber
sul	Sulfurihydrogenibium sp. YO3AOP1
saf	Sulfurihydrogenibium azorense
pmx	Persephonella marina
tam	Thermovibrio ammonificans
dte	Desulfurobacterium thermolithotrophum
tma	Thermotoga maritima MSB8
tmm	Thermotoga maritima MSB8
tmi	Thermotoga maritima MSB8
tmw	Thermotoga maritima MSB8
tmq	Thermotoga maritima Tma100
tmx	Thermotoga maritima Tma200
tpt	Thermotoga petrophila
trq	Thermotoga sp. RQ2
tna	Thermotoga neapolitana
tnp	Thermotoga naphthophila
thq	Thermotoga sp. 2812B
thz	Thermotoga sp. Cell2
thr	Thermotoga sp. RQ7
tle	Thermotoga lettingae
tta	Pseudothermotoga thermarum
tme	Thermosipho melanesiensis
taf	Thermosipho africanus
fno	Fervidobacterium nodosum
fpe	Fervidobacterium pennivorans
pmo	Petrotoga mobilis
mpz	Marinitoga piezophila
dtn	Defluviitoga tunisiensis
kol	Kosmotoga olearia
kpf	Kosmotoga pacifica
mpg	Mesotoga prima
ccz	Chthonomonas calidirosea
fgi	Fimbriimonas ginsengisoli
cex	Caldisericum exile
din	Desulfurispirillum indicum
ddf	Deferribacter desulfuricans
dap	Denitrovibrio acetiphilus
cni	Calditerrivibrio nitroreducens
fsi	Flexistipes sinusarabici
dth	Dictyoglomus thermophilum
dtu	Dictyoglomus turgidum
tye	Thermodesulfovibrio yellowstonii
nde	Nitrospira defluvii
nmv	Nitrospira moscoviensis
lfc	Leptospirillum ferrooxidans
lfi	Leptospirillum ferriphilum ML-04
lfp	Leptospirillum ferriphilum YSK
leg	Leptospirillum sp. Group II
tid	Thermodesulfatator indicus
top	Thermodesulfobacterium geofontis
tcm	Thermodesulfobacterium commune
saal	Candidatus Saccharimonas aalborgensis
sbe	Candidatus Saccharibacteria bacterium
sox	Candidatus Saccharibacteria oral
ttr	Thermobaculum terrenum
mox	Candidatus Methylomirabilis oxyfera
srb	Candidate division SR1 bacterium RAAC1_SR1_1
wwe	Candidate division WWE3 bacterium RAAC2_WWE3_1
bgw	Bacterium GW2011_GWA1_50_15
bbgw	Berkelbacteria bacterium GW2011_GWE1_39_12
mib	Microgenomates (Beckwithbacteria) bacterium GW2011_GWC1_49_16
pwo	Parcubacteria (Wolfebacteria) bacterium GW2011_GWB1_47_1
mja	Methanocaldococcus jannaschii
mfe	Methanocaldococcus fervens
mvu	Methanocaldococcus vulcanius
mfs	Methanocaldococcus sp. FS406-22
mif	Methanocaldococcus infernus
mjh	Methanocaldococcus sp. JH146
mig	Methanotorris igneus
mmp	Methanococcus maripaludis S2
mmq	Methanococcus maripaludis C5
mmx	Methanococcus maripaludis C6
mmz	Methanococcus maripaludis C7
mmd	Methanococcus maripaludis X1
mmak	Methanococcus maripaludis KA1
mmao	Methanococcus maripaludis OS7
mae	Methanococcus aeolicus
mvn	Methanococcus vannielii
mvo	Methanococcus voltae
mok	Methanothermococcus okinawensis
Methanosarcina	mac
mba	Methanosarcina barkeri Fusaro
mby	Methanosarcina barkeri MS
mbw	Methanosarcina barkeri Wiesmoor
mbar	Methanosarcina barkeri 227
mma	Methanosarcina mazei Go1
mmaz	Methanosarcina mazei Tuc01
mvc	Methanosarcina vacuolata
mek	Methanosarcina sp. Kolksee
mls	Methanosarcina lacustris
metm	Methanosarcina sp. MTP4
mef	Methanosarcina sp. WH1
meq	Methanosarcina sp. WWM596
msj	Methanosarcina siciliae C2J
msz	Methanosarcina siciliae HI350
msw	Methanosarcina siciliae T4/M
mthe	Methanosarcina thermophila CHTI-55
mthr	Methanosarcina thermophila TM-1
mhor	Methanosarcina horonobensis
mbu	Methanococcoides burtonii
mmet	Methanococcoides methylutens
mmh	Methanohalophilus mahii
mev	Methanohalobium evestigatum
mzh	Methanosalsum zhilinae
mpy	Methanolobus psychrophilus
mhz	Methanomethylovorans hollandica
mtp	Methanosaeta thermophila
mcj	Methanosaeta concilii
mhi	Methanosaeta harundinacea
mhu	Methanospirillum hungatei
mla	Methanocorpusculum labreanum
mem	Methanoculleus marisnigri
mbg	Methanoculleus bourgensis
mpi	Methanolacinia petrolearia
mbn	Methanoregula boonei
mfo	Methanoregula formicica
mpl	Candidatus Methanosphaerula palustris
mpd	Methanocella paludicola
mez	Methanocella conradii
rci	Methanocella arvoryzae
mth	Methanothermobacter thermautotrophicus
mmg	Methanothermobacter marburgensis
metc	Methanothermobacter sp. CaT2
mst	Methanosphaera stadtmanae
msi	Methanobrevibacter smithii
mru	Methanobrevibacter ruminantium
meb	Methanobrevibacter sp. AbM4
mel	Methanobacterium lacus
mew	Methanobacterium sp. SWAN-1
meth	Methanobacterium sp. MB1
mfc	Methanobacterium formicicum BRM9
mfi	Methanobacterium formicicum DSM1535
mfv	Methanothermus fervidus
mka	Methanopyrus kandleri
afu	Archaeoglobus fulgidus DSM 4304
afg	Archaeoglobus fulgidus DSM 8774
apo	Archaeoglobus profundus
ave	Archaeoglobus veneficus
ast	Archaeoglobus sulfaticallidus
fpl	Ferroglobus placidus
gac	Geoglobus acetivorans
gah	Geoglobus ahangari
hal	Halobacterium sp. NRC-1
hsl	Halobacterium salinarum
hdl	Halobacterium sp. DL1
hma	Haloarcula marismortui
hhi	Haloarcula hispanica ATCC 33960
hhn	Haloarcula hispanica N601
hab	Haloarcula sp. CBA1115
nph	Natronomonas pharaonis
nmo	Natronomonas moolapensis
hut	Halorhabdus utahensis
hti	Halorhabdus tiamatea
hmu	Halomicrobium mukohataei
hje	Halalkalicoccus jeotgali
hsu	Halanaeroarchaeum sulfurireducens
hwa	Haloquadratum walsbyi DSM 16790
hwc	Haloquadratum walsbyi C23
hla	Halorubrum lacusprofundi
hvo	Haloferax volcanii
hme	Haloferax mediterranei
hgi	Haloferax gibbonsii
hbo	Halogeometricum borinquense
htu	Haloterrigena turkmenica
nmg	Natrialba magadii
hxa	Halopiger xanaduensis
nat	Natrinema sp. J7-2
npe	Natrinema pellirubrum
nge	Natronobacterium gregoryi
hru	Halovivax ruber
nou	Natronococcus occultus
sali	Salinarchaeum sp. Harcht-Bsk1
hlr	Halostagnicola larsenii
tac	Thermoplasma acidophilum
tvo	Thermoplasma volcanium
pto	Picrophilus torridus
fac	Ferroplasma acidarmanus
tar	Thermoplasmatales archaeon BRNA1
max	Candidatus Methanomethylophilus alvus
mer	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
mear	Candidatus Methanoplasma termitum
pho	Pyrococcus horikoshii
pab	Pyrococcus abyssi
pfu	Pyrococcus furiosus DSM 3638
pfi	Pyrococcus furiosus COM1
pyn	Pyrococcus sp. NA2
pya	Pyrococcus yayanosii
pys	Pyrococcus sp. ST04
tko	Thermococcus kodakarensis
ton	Thermococcus onnurineus
tga	Thermococcus gammatolerans
tsi	Thermococcus sibiricus
tba	Thermococcus barophilus
the	Thermococcus sp. 4557
tha	Thermococcus sp. AM4
thm	Thermococcus sp. CL1
tlt	Thermococcus litoralis
ths	Thermococcus sp. ES1
tnu	Thermococcus nautili
teu	Thermococcus eurythermalis
ppac	Palaeococcus pacificus
abi	Aciduliprofundum boonei
acf	Aciduliprofundum sp. MAR08-339
ape	Aeropyrum pernix
acj	Aeropyrum camini
smr	Staphylothermus marinus
shc	Staphylothermus hellenicus
iho	Ignicoccus hospitalis
dka	Desulfurococcus kamchatkensis
dmu	Desulfurococcus mucosus
dfd	Desulfurococcus fermentans
tag	Thermosphaera aggregans
iag	Ignisphaera aggregans
thg	Thermogladius cellulolyticus
hbu	Hyperthermus butylicus
pfm	Pyrolobus fumarii
pdl	Pyrodictium delaneyi
sso	Sulfolobus solfataricus P2
sol	Sulfolobus solfataricus 98/2
ssoa	Sulfolobus solfataricus SULA
ssol	Sulfolobus solfataricus SULB
ssof	Sulfolobus solfataricus SULC
sto	Sulfolobus tokodaii
sai	Sulfolobus acidocaldarius DSM 639
sacn	Sulfolobus acidocaldarius N8
sacr	Sulfolobus acidocaldarius Ron12/I
sacs	Sulfolobus acidocaldarius SUSAZ
sis	Sulfolobus islandicus L.S.2.15
sia	Sulfolobus islandicus M.14.25
sim	Sulfolobus islandicus M.16.27
sid	Sulfolobus islandicus M.16.4
siy	Sulfolobus islandicus Y.G.57.14
sin	Sulfolobus islandicus Y.N.15.51
sii	Sulfolobus islandicus L.D.8.5
sih	Sulfolobus islandicus HVE10/4
sir	Sulfolobus islandicus REY15A
sic	Sulfolobus islandicus LAL14/1
mse	Metallosphaera sedula
mcn	Metallosphaera cuprina
aho	Acidianus hospitalis
pai	Pyrobaculum aerophilum
pis	Pyrobaculum islandicum
pcl	Pyrobaculum calidifontis
pas	Pyrobaculum arsenaticum
pyr	Pyrobaculum sp. 1860
pog	Pyrobaculum oguniense
tne	Pyrobaculum neutrophilum
pyw	Pyrobaculum sp. WP30
cma	Caldivirga maquilingensis
tuz	Thermoproteus uzoniensis
ttn	Thermoproteus tenax
vdi	Vulcanisaeta distributa
vmo	Vulcanisaeta moutnovskia
tpe	Thermofilum pendens
thb	Thermofilum sp. 1910b
tcb	Thermofilum carboxyditrophus
thf	Thermofilum sp. 1807-2
asc	Acidilobus saccharovorans
clg	Caldisphaera lagunensis
ffo	Fervidicoccus fontis
nmr	Nitrosopumilus maritimus
nir	Candidatus Nitrosopumilus sp. AR2
nid	Candidatus Nitrosopumilus sp. D3C
nin	Candidatus Nitrosopumilus sp. NF5
nkr	Candidatus Nitrosopumilus koreensis
csy	Cenarchaeum symbiosum
nga	Candidatus Nitrososphaera gargensis
nvn	Nitrososphaera viennensis
nev	Candidatus Nitrososphaera evergladensis
csu	Candidatus Caldiarchaeum subterraneum
nbv	Candidatus Nitrosopelagicus brevis
tah	Thaumarchaeota archaeon
neq	Nanoarchaeum equitans
kcr	Candidatus Korarchaeum cryptofilum
loki	Lokiarchaeum sp. GC14_75
barc	Bathyarchaeota archaeon BA1
barb	Bathyarchaeota archaeon BA2
hah	Halophilic archaeon
agw	Archaeon GW2011_AR10
arg	Archaeon GW2011_AR20
